version,4,4
counter,							engine_state,							temperature,							engine_rpm,							pump_vol,							radio_vol,							engine_vol,							pressure,							rc_input1,							rc_input2,							speed,							pump_st,							pump_rpm,							error_coe,							current,							tcu_temp,							ecu_temp,							thrust,							fuel_temp,							fuel_press,							combustion_press
8582,5,420,47600,4560,0,1640,100350,1500,2000,0,2,4350,0,0,0,0,0,0,0,0
8583,5,420,48750,4620,0,0,0,0,0,0,0,0,0,8,32,34,0,0,0,0
8584,5,420,49700,4670,0,1640,100350,1500,2000,0,2,4550,0,8,32,34,0,0,0,0
8585,5,420,50550,4730,0,1640,100350,1500,2000,0,2,4550,0,9,32,34,0,0,0,0
8586,5,420,51550,4770,0,1640,100350,1500,2000,0,2,4750,0,9,32,34,0,0,0,0
8587,5,415,52400,4820,0,1640,100350,1500,2000,0,2,4750,0,9,32,34,0,0,0,0
8588,5,415,53050,4860,0,1640,100350,1500,2000,0,2,4950,0,9,32,34,0,0,0,0
8589,5,415,53650,4910,0,1640,100350,1500,2000,0,2,4950,0,10,32,34,0,0,0,0
8590,5,415,54450,4950,0,1640,100350,1500,2000,0,2,5100,0,10,32,34,0,0,0,0
8591,5,415,55100,4990,0,1640,100350,1500,2000,0,2,5100,0,10,32,34,0,0,0,0
8592,5,420,55500,5020,0,1640,100340,1500,2000,0,2,5250,0,10,32,34,0,0,0,0
8593,5,420,56050,5060,0,1640,100340,1500,2000,0,2,5250,0,11,32,34,0,0,0,0
8594,5,420,56600,5090,0,1640,100340,1500,2000,0,2,5350,0,11,32,34,0,0,0,0
8595,5,420,57150,5120,0,1640,100340,1500,2000,0,2,5350,0,11,32,34,0,0,0,0
8596,5,420,57550,5150,0,1640,100340,1500,2000,0,2,5500,0,11,32,34,0,0,0,0
8597,5,420,57900,5180,0,1640,100340,1500,2000,0,2,5500,0,11,32,34,0,0,0,0
8598,5,420,58300,5210,0,1640,100340,1500,2000,0,2,5400,0,11,32,34,0,0,0,0
8599,5,420,58600,5240,0,1640,100340,1500,2000,0,2,5400,0,12,32,34,0,0,0,0
8600,5,420,58950,5260,0,1640,100340,1500,2000,0,2,5700,0,12,32,34,0,0,0,0
8601,5,420,59350,5290,0,1640,100340,1500,2000,0,2,5700,0,12,32,34,0,0,0,0
8602,5,420,59750,5310,0,1640,100340,1500,2000,0,2,5800,0,12,32,34,0,0,0,0
8603,5,420,60150,5330,0,1640,100340,1500,2000,0,2,5800,0,13,32,34,0,0,0,0
8604,5,425,60350,5360,0,1640,100340,1500,2000,0,2,5850,0,13,32,34,0,0,0,0
8605,5,425,60700,5380,0,1640,100340,1500,2000,0,2,5850,0,13,32,34,0,0,0,0
8606,5,425,60950,5390,0,1640,100340,1500,2000,0,2,5950,0,13,32,34,0,0,0,0
8607,5,425,61200,5410,0,1640,100340,1500,2000,0,2,5950,0,13,32,34,0,0,0,0
8608,5,425,61500,5430,0,1640,100340,1500,2000,0,2,6100,0,13,32,34,0,0,0,0
8609,5,425,61750,5450,0,1640,100340,1500,2000,0,2,6100,0,13,32,34,0,0,0,0
8610,5,430,62000,5460,0,1640,100330,1500,2000,0,2,6100,0,13,32,34,0,0,0,0
8611,5,430,62300,5480,0,1640,100330,1500,2000,0,2,6100,0,13,32,34,0,0,0,0
8612,5,430,62550,5490,0,1640,100340,1500,2000,0,2,6200,0,13,32,34,0,0,0,0
8613,5,430,62600,5500,0,1640,100340,1500,2000,0,2,6200,0,13,32,34,0,0,0,0
8614,5,430,62800,5510,0,1640,100340,1500,2000,0,2,6300,0,13,32,34,0,0,0,0
8615,5,430,63000,5530,0,1640,100340,1500,2000,0,2,6300,0,14,32,34,0,0,0,0
8616,5,430,63200,5540,0,1640,100330,1500,2000,0,2,6300,0,14,32,34,0,0,0,0
8617,5,430,63300,5550,0,1640,100330,1500,2000,0,2,6300,0,14,32,34,0,0,0,0
8618,5,430,63550,5560,0,1640,100320,1500,2000,0,2,6350,0,14,32,34,0,0,0,0
8619,5,430,63650,5570,0,1640,100320,1500,2000,0,2,6350,0,14,32,34,0,0,0,0
8620,5,435,63800,5580,0,1640,100330,1500,2000,0,2,6450,0,14,32,34,0,0,0,0
8621,5,435,63850,5580,0,1640,100330,1500,2000,0,2,6450,0,14,32,34,0,0,0,0
8622,5,435,63950,5590,0,1640,100330,1500,2000,0,2,6450,0,14,32,34,0,0,0,0
8623,5,435,64100,5600,0,1640,100330,1500,2000,0,2,6450,0,14,30,34,0,0,0,0
8624,5,435,64200,5610,0,1640,100330,1500,2000,0,2,6500,0,14,30,34,0,0,0,0
8625,5,435,64400,5610,0,1640,100330,1500,2000,0,2,6500,0,14,30,34,0,0,0,0
8626,5,440,64500,5620,0,1640,100320,1500,2000,0,2,6500,0,14,30,34,0,0,0,0
8627,5,440,64550,5630,0,1640,100320,1500,2000,0,2,6500,0,15,30,34,0,0,0,0
8628,5,440,64700,5630,0,1640,100320,1500,2000,0,2,6550,0,15,30,34,0,0,0,0
8629,5,440,64800,5640,0,1640,100320,1500,2000,0,2,6550,0,15,30,34,0,0,0,0
8630,5,440,64850,5640,0,1640,100320,1500,2000,0,2,6550,0,15,30,34,0,0,0,0
8631,5,440,64850,5640,0,1640,100320,1500,2000,0,2,6550,0,15,30,34,0,0,0,0
8632,5,440,64950,5650,0,1640,100320,1500,2000,0,2,6600,0,15,30,34,0,0,0,0
8633,5,440,65000,5650,0,1640,100320,1500,2000,0,2,6600,0,15,30,34,0,0,0,0
8634,5,440,65100,5660,0,1640,100320,1500,2000,0,2,6550,0,15,30,34,0,0,0,0
8635,5,440,65100,5660,0,1640,100320,1500,2000,0,2,6550,0,15,30,34,0,0,0,0
8636,5,445,65250,5660,0,1640,100320,1500,2000,0,2,6650,0,15,30,34,0,0,0,0
8637,5,445,65350,5670,0,1640,100320,1500,2000,0,2,6650,0,15,30,34,0,0,0,0
8638,5,445,65350,5670,0,1640,100320,1500,2000,0,2,6650,0,15,30,34,0,0,0,0
8639,5,445,65400,5670,0,1640,100320,1500,2000,0,2,6650,0,15,30,34,0,0,0,0
8640,5,445,65400,5670,0,1640,100320,1500,2000,0,2,6600,0,15,30,34,0,0,0,0
8641,5,445,65400,5680,0,1640,100320,1500,2000,0,2,6600,0,15,30,34,0,0,0,0
8642,5,445,65350,5680,0,1640,100320,1500,2000,0,2,6650,0,15,30,34,0,0,0,0
8643,5,445,65450,5680,0,1640,100320,1500,2000,0,2,6650,0,15,30,34,0,0,0,0
8644,5,445,65450,5680,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8645,5,445,65600,5680,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8646,5,445,65700,5690,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8647,5,445,65750,5690,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8648,5,445,65650,5690,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8649,5,445,65700,5690,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8650,5,450,65700,5690,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8651,5,450,65700,5690,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8652,5,450,65600,5690,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8653,5,450,65700,5690,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8654,5,450,65650,5690,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8655,5,450,65700,5700,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8656,5,450,65700,5700,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8657,5,450,65650,5700,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8658,5,450,65700,5700,0,1640,100330,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8659,5,450,65700,5700,0,1640,100330,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8660,5,450,65750,5700,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8661,5,450,65900,5700,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8662,5,450,65900,5700,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8663,5,450,65900,5700,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8664,5,450,65900,5700,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8665,5,450,65950,5700,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8666,5,450,65900,5700,0,1640,100330,1500,2000,0,2,6750,0,15,30,34,0,0,0,0
8667,5,450,65850,5700,0,1640,100330,1500,2000,0,2,6750,0,15,30,34,0,0,0,0
8668,5,450,65850,5700,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8669,5,450,65900,5700,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8670,5,450,65900,5700,0,1640,100330,1500,2000,0,2,6750,0,15,30,34,0,0,0,0
8671,5,450,65800,5710,0,1640,100330,1500,2000,0,2,6750,0,15,30,34,0,0,0,0
8672,5,450,65750,5710,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8673,5,450,65900,5710,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8674,5,450,65850,5710,0,1640,100330,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8675,5,450,65850,5710,0,1640,100330,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8676,5,450,65900,5710,0,1640,100330,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8677,5,450,65800,5710,0,1640,100330,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8678,5,450,65800,5710,0,1640,100330,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8679,5,450,65850,5710,0,1640,100330,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8680,5,450,65800,5710,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8681,5,450,65850,5710,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8682,5,450,65850,5710,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8683,5,450,65800,5710,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8684,5,450,65850,5710,0,1640,100330,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8685,5,450,65850,5710,0,1640,100330,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8686,5,450,65850,5710,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8687,5,450,65850,5710,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8688,5,450,65850,5710,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8689,5,450,65950,5710,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8690,5,450,65900,5710,0,1640,100330,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8691,5,450,65800,5720,0,1640,100330,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8692,5,450,65750,5720,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8693,5,450,65850,5720,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8694,5,450,66000,5720,0,1640,100320,1500,2000,0,2,6750,0,15,30,34,0,0,0,0
8695,5,450,66050,5720,0,1640,100320,1500,2000,0,2,6750,0,15,30,34,0,0,0,0
8696,5,450,66000,5720,0,1640,100330,1500,2000,0,2,6750,0,15,30,34,0,0,0,0
8697,5,450,65900,5720,0,1640,100330,1500,2000,0,2,6750,0,15,30,34,0,0,0,0
8698,5,450,65900,5720,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
8699,5,450,65900,5720,0,1640,100320,1500,2000,0,2,6700,0,15,30,34,0,0,0,0
