version,4,4
counter,							engine_state,							temperature,							engine_rpm,							pump_vol,							radio_vol,							engine_vol,							pressure,							rc_input1,							rc_input2,							speed,							pump_st,							pump_rpm,							error_coe,							current,							tcu_temp,							ecu_temp,							thrust,							fuel_temp,							fuel_press,							combustion_press
87905,6,135,4300,0,0,0,0,0,0,0,0,0,0,15,50,48,0,0,0,0
87907,6,135,4300,0,0,0,0,0,0,0,0,0,0,15,50,48,0,0,0,0
87911,6,130,4300,0,0,0,0,0,0,0,0,0,0,15,50,48,0,0,0,0
87913,6,130,4300,0,0,0,0,0,0,0,0,0,0,15,50,48,0,0,0,0
87915,6,130,4300,0,0,0,0,0,0,0,0,0,0,15,50,48,0,0,0,0
87917,6,130,4300,0,0,0,0,0,0,0,0,0,0,15,50,48,0,0,0,0
91334,5,595,97050,10840,0,1580,100650,2000,2000,0,2,17150,0,15,50,48,0,0,0,0
91335,5,595,96850,10840,0,0,0,0,0,0,0,0,0,82,52,56,0,0,0,0
91336,5,595,97000,10850,0,1580,100650,2000,2000,0,2,17150,0,82,52,56,0,0,0,0
91337,5,595,96950,10850,0,1580,100650,2000,2000,0,2,17150,0,82,52,56,0,0,0,0
91338,5,595,96800,10850,0,1580,100650,2000,2000,0,2,17150,0,82,52,56,0,0,0,0
91339,5,595,96950,10850,0,1580,100650,2000,2000,0,2,17150,0,82,52,56,0,0,0,0
91340,5,595,96900,10850,0,1580,100640,2000,2000,0,2,17100,0,82,52,56,0,0,0,0
91341,5,595,96900,10850,0,1580,100640,2000,2000,0,2,17100,0,82,52,56,0,0,0,0
91342,5,595,96900,10850,0,1580,100650,2000,2000,0,2,17200,0,82,52,56,0,0,0,0
91343,5,595,96900,10850,0,1580,100650,2000,2000,0,2,17200,0,82,52,56,0,0,0,0
91344,5,595,96950,10850,0,1580,100670,2000,2000,0,2,17100,0,82,52,56,0,0,0,0
91345,5,595,96750,10850,0,1580,100670,2000,2000,0,2,17100,0,83,52,56,0,0,0,0
91346,5,595,96850,10850,0,1580,100660,2000,2000,0,2,17000,0,83,52,56,0,0,0,0
91347,5,595,96800,10850,0,1580,100660,2000,2000,0,2,17000,0,82,52,56,0,0,0,0
91348,5,595,96850,10850,0,1580,100670,2000,2000,0,2,17150,0,82,52,56,0,0,0,0
91349,5,595,96750,10850,0,1580,100670,2000,2000,0,2,17150,0,83,52,56,0,0,0,0
91350,5,595,96950,10860,0,1580,100660,2000,2000,0,2,17150,0,83,52,56,0,0,0,0
91351,5,595,96900,10860,0,1580,100660,2000,2000,0,2,17150,0,83,52,56,0,0,0,0
91352,5,595,97000,10860,0,1580,100660,2000,2000,0,2,17100,0,83,52,56,0,0,0,0
91353,5,590,97000,10860,0,1580,100660,2000,2000,0,2,17100,0,83,52,56,0,0,0,0
91354,5,590,96900,10860,0,1580,100660,2000,2000,0,2,17100,0,83,52,56,0,0,0,0
91355,5,590,96900,10860,0,1580,100660,2000,2000,0,2,17100,0,82,52,56,0,0,0,0
91356,5,590,96850,10860,0,1580,100660,2000,2000,0,2,17050,0,82,52,56,0,0,0,0
91357,5,590,96850,10860,0,1580,100660,2000,2000,0,2,17050,0,82,52,56,0,0,0,0
91358,5,595,96850,10860,0,1580,100650,2000,2000,0,2,17100,0,82,52,56,0,0,0,0
91359,5,595,97000,10860,0,1580,100650,2000,2000,0,2,17100,0,82,52,56,0,0,0,0
91360,5,595,96900,10860,0,1580,100660,2000,2000,0,2,17250,0,82,52,56,0,0,0,0
91361,5,595,96950,10860,0,1580,100660,2000,2000,0,2,17250,0,82,52,56,0,0,0,0
91362,5,595,96850,10860,0,1580,100660,2000,2000,0,2,17300,0,82,52,56,0,0,0,0
91363,5,595,96950,10860,0,1580,100660,2000,2000,0,2,17300,0,82,52,56,0,0,0,0
91364,5,595,96950,10860,0,1580,100660,2000,2000,0,2,17150,0,82,52,56,0,0,0,0
91365,5,595,96950,10860,0,1580,100660,2000,2000,0,2,17150,0,82,52,56,0,0,0,0
91366,5,595,97000,10860,0,1580,100660,2000,2000,0,2,17200,0,82,52,56,0,0,0,0
91367,5,595,97100,10860,0,1580,100660,2000,2000,0,2,17200,0,83,52,56,0,0,0,0
91368,5,590,97050,10860,0,1580,100670,2000,2000,0,2,17200,0,83,52,56,0,0,0,0
91369,5,595,97050,10860,0,1580,100670,2000,2000,0,2,17200,0,83,52,56,0,0,0,0
91370,5,595,96900,10860,0,1580,100660,2000,2000,0,2,17150,0,83,52,56,0,0,0,0
91371,5,595,97000,10860,0,1580,100660,2000,2000,0,2,17150,0,83,52,56,0,0,0,0
91372,5,595,96950,10860,0,1580,100650,2000,2000,0,2,17150,0,83,52,56,0,0,0,0
91373,5,595,96900,10860,0,1580,100650,2000,2000,0,2,17150,0,82,52,56,0,0,0,0
91374,5,595,96900,10860,0,1580,100650,2000,2000,0,2,17200,0,82,52,56,0,0,0,0
91375,5,595,96850,10860,0,1580,100650,2000,2000,0,2,17200,0,82,52,56,0,0,0,0
91376,5,595,97000,10860,0,1580,100650,2000,2000,0,2,17200,0,82,52,56,0,0,0,0
91377,5,595,96950,10860,0,1580,100650,2000,2000,0,2,17200,0,82,52,56,0,0,0,0
91378,5,595,96950,10860,0,1580,100650,2000,2000,0,2,17200,0,82,52,56,0,0,0,0
91379,5,590,96900,10860,0,1580,100650,2000,2000,0,2,17200,0,83,52,56,0,0,0,0
91380,5,590,96900,10860,0,1580,100660,2000,2000,0,2,17250,0,83,52,56,0,0,0,0
91381,5,590,96900,10860,0,1580,100660,2000,2000,0,2,17250,0,83,52,56,0,0,0,0
91382,5,590,96900,10860,0,1580,100660,2000,2000,0,2,17050,0,83,52,56,0,0,0,0
91383,5,595,96900,10860,0,1580,100660,2000,2000,0,2,17050,0,83,52,56,0,0,0,0
91384,5,595,96950,10860,0,1580,100650,2000,2000,0,2,17350,0,83,52,56,0,0,0,0
91385,5,595,96900,10860,0,1580,100650,2000,2000,0,2,17350,0,83,52,56,0,0,0,0
91386,5,595,96800,10860,0,1580,100650,2000,2000,0,2,17150,0,83,52,56,0,0,0,0
91387,5,595,96850,10860,0,1580,100650,2000,2000,0,2,17150,0,83,52,56,0,0,0,0
91388,5,595,96900,10860,0,1580,100650,2000,2000,0,2,17250,0,83,52,56,0,0,0,0
91389,5,595,96900,10860,0,1580,100650,2000,2000,0,2,17250,0,83,52,56,0,0,0,0
91390,5,595,96950,10860,0,1580,100650,2000,2000,0,2,17200,0,83,52,56,0,0,0,0
91391,5,590,96950,10860,0,1580,100650,2000,2000,0,2,17200,0,83,52,56,0,0,0,0
91392,5,590,96950,10860,0,1580,100660,2000,2000,0,2,17150,0,83,52,56,0,0,0,0
91393,5,595,97000,10860,0,1580,100660,2000,2000,0,2,17150,0,83,52,56,0,0,0,0
91394,5,595,96800,10390,0,1580,100660,1880,2000,0,2,16900,0,83,52,56,0,0,0,0
91395,5,595,95950,9760,0,1580,100660,1880,2000,0,2,16900,0,67,52,56,0,0,0,0
91396,5,590,94450,9160,0,1580,100650,1730,2000,0,2,14750,0,67,52,56,0,0,0,0
91397,5,590,92800,8610,0,1580,100650,1730,2000,0,2,14750,0,51,52,56,0,0,0,0
91398,5,585,91000,8100,0,1600,100660,1620,2000,0,2,12900,0,51,52,56,0,0,0,0
91399,5,575,89150,7650,0,1600,100660,1620,2000,0,2,12900,0,38,52,56,0,0,0,0
91400,5,570,87100,7380,0,1600,100670,1520,2000,0,2,11300,0,38,52,56,0,0,0,0
91401,5,555,85100,7000,0,1600,100670,1520,2000,0,2,11300,0,29,52,56,0,0,0,0
91402,5,545,82550,6660,0,1600,100690,1430,2000,0,2,9600,0,29,52,56,0,0,0,0
91403,5,535,80200,6570,0,1600,100690,1430,2000,0,2,9600,0,24,52,56,0,0,0,0
91404,5,520,79250,6600,0,1600,100700,1420,2000,0,2,9150,0,24,52,56,0,0,0,0
91405,5,505,79050,6600,0,1600,100700,1420,2000,0,2,9150,0,24,52,56,0,0,0,0
91406,5,500,79050,6720,0,1600,100700,1440,2000,0,2,9250,0,24,52,56,0,0,0,0
91407,5,490,79900,6880,0,1600,100700,1440,2000,0,2,9250,0,28,52,56,0,0,0,0
91408,5,485,80700,6880,0,1600,100700,1460,2000,0,2,9700,0,28,52,56,0,0,0,0
91409,5,480,80950,6910,0,1600,100700,1460,2000,0,2,9700,0,28,52,56,0,0,0,0
91410,5,480,81200,6910,0,1600,100700,1460,2000,0,2,9850,0,28,52,56,0,0,0,0
91411,5,475,81100,6910,0,1600,100700,1460,2000,0,2,9850,0,27,52,56,0,0,0,0
91412,5,475,81150,6910,0,1600,100700,1460,2000,0,2,9850,0,27,52,56,0,0,0,0
91413,5,470,81150,6910,0,1600,100700,1460,2000,0,2,9850,0,28,52,56,0,0,0,0
91414,5,470,81000,6910,0,1600,100710,1460,2000,0,2,9800,0,28,52,56,0,0,0,0
91415,5,470,81050,6910,0,1600,100710,1460,2000,0,2,9800,0,28,52,56,0,0,0,0
91416,5,470,81150,6910,0,1600,100710,1460,2000,0,2,9800,0,28,52,56,0,0,0,0
91417,5,470,81200,6910,0,1600,100710,1460,2000,0,2,9800,0,28,52,58,0,0,0,0
91418,5,470,81150,6910,0,1600,100710,1460,2000,0,2,9800,0,28,52,58,0,0,0,0
91419,5,470,81200,6910,0,1600,100710,1460,2000,0,2,9800,0,28,52,58,0,0,0,0
91420,5,465,81200,6940,0,1600,100710,1500,2000,0,2,9800,0,28,52,58,0,0,0,0
91421,5,465,81750,7140,0,1600,100710,1500,2000,0,2,9800,0,30,52,58,0,0,0,0
91422,5,465,82600,7140,0,1600,100700,1500,2000,0,2,10300,0,30,52,58,0,0,0,0
