version,4,4
counter,							engine_state,							temperature,							engine_rpm,							pump_vol,							radio_vol,							engine_vol,							pressure,							rc_input1,							rc_input2,							speed,							pump_st,							pump_rpm,							error_coe,							current,							tcu_temp,							ecu_temp,							thrust,							fuel_temp,							fuel_press,							combustion_press
86431,5,545,90800,8710,0,0,0,0,0,0,0,0,0,53,32,40,0,0,0,0
86432,5,545,90850,8750,0,1600,67730,2010,2010,0,2,12900,0,53,32,40,0,0,0,0
86433,5,545,91000,8780,0,1600,67730,2010,2010,0,2,12900,0,54,32,40,0,0,0,0
86434,5,550,91100,8820,0,1600,67720,2010,2010,0,2,13100,0,54,32,40,0,0,0,0
86435,5,550,91350,8850,0,1600,67720,2010,2010,0,2,13100,0,55,32,40,0,0,0,0
86436,5,550,91550,8880,0,1600,67730,2010,2010,0,2,13200,0,55,32,40,0,0,0,0
86437,5,555,91600,8910,0,1600,67730,2010,2010,0,2,13200,0,56,32,40,0,0,0,0
86438,5,555,91750,8940,0,1600,67730,2010,2010,0,2,13350,0,56,32,40,0,0,0,0
86439,5,555,91850,8970,0,1600,67730,2010,2010,0,2,13350,0,56,32,40,0,0,0,0
86440,5,555,92050,9000,0,1600,67730,2010,2010,0,2,13400,0,56,32,40,0,0,0,0
86441,5,560,92050,9030,0,1600,67730,2010,2010,0,2,13400,0,58,32,40,0,0,0,0
86442,5,560,92150,9060,0,1600,67720,2010,2010,0,2,13550,0,58,32,40,0,0,0,0
86443,5,560,92300,9090,0,1600,67720,2010,2010,0,2,13550,0,59,32,40,0,0,0,0
86444,5,560,92300,9110,0,1580,67720,2010,2010,0,2,13600,0,59,32,40,0,0,0,0
86445,5,560,92400,9140,0,1580,67720,2010,2010,0,2,13600,0,60,34,40,0,0,0,0
86446,5,565,92450,9170,0,1580,67720,2010,2010,0,2,13600,0,60,34,40,0,0,0,0
86447,5,565,92600,9190,0,1580,67720,2010,2010,0,2,13600,0,60,34,40,0,0,0,0
86448,5,565,92650,9220,0,1580,67720,2010,2010,0,2,13700,0,60,34,40,0,0,0,0
86449,5,570,92800,9240,0,1580,67720,2010,2010,0,2,13700,0,61,34,40,0,0,0,0
86450,5,570,92850,9270,0,1580,67710,2010,2010,0,2,13850,0,61,34,40,0,0,0,0
86451,5,570,92950,9290,0,1580,67710,2010,2010,0,2,13850,0,61,34,40,0,0,0,0
86452,5,570,93100,9320,0,1580,67710,2010,2010,0,2,13950,0,61,34,40,0,0,0,0
86453,5,575,93300,9340,0,1580,67710,2010,2010,0,2,13950,0,62,34,40,0,0,0,0
86454,5,575,93300,9360,0,1580,67710,2010,2010,0,2,14050,0,62,34,40,0,0,0,0
86455,5,575,93500,9380,0,1580,67710,2010,2010,0,2,14050,0,63,34,40,0,0,0,0
86456,5,575,93600,9400,0,1580,67710,2010,2010,0,2,14100,0,63,34,40,0,0,0,0
86457,5,575,93550,9420,0,1580,67710,2010,2010,0,2,14100,0,63,34,40,0,0,0,0
86458,5,575,93600,9440,0,1580,67710,2010,2010,0,2,14150,0,63,34,40,0,0,0,0
86459,5,580,93750,9460,0,1580,67710,2010,2010,0,2,14150,0,64,34,40,0,0,0,0
86460,5,580,93950,9480,0,1580,67700,2010,2010,0,2,14300,0,64,34,40,0,0,0,0
86461,5,580,93800,9500,0,1580,67700,2010,2010,0,2,14300,0,65,34,40,0,0,0,0
86462,5,580,93850,9520,0,1580,67700,2010,2010,0,2,14350,0,65,34,40,0,0,0,0
86463,5,580,94000,9540,0,1580,67700,2010,2010,0,2,14350,0,66,34,40,0,0,0,0
86464,5,580,94000,9560,0,1580,67700,2010,2010,0,2,14400,0,66,34,40,0,0,0,0
86465,5,580,94200,9580,0,1580,67700,2010,2010,0,2,14400,0,66,34,40,0,0,0,0
86466,5,585,94350,9590,0,1580,67690,2010,2010,0,2,14500,0,66,34,40,0,0,0,0
86467,5,585,94250,9610,0,1580,67690,2010,2010,0,2,14500,0,67,34,40,0,0,0,0
86468,5,585,94250,9630,0,1580,67690,2010,2010,0,2,14550,0,67,34,40,0,0,0,0
86469,5,585,94250,9640,0,1580,67690,2010,2010,0,2,14550,0,67,36,40,0,0,0,0
86470,5,585,94300,9660,0,1580,67690,2010,2010,0,2,14550,0,67,36,40,0,0,0,0
86471,5,585,94400,9680,0,1580,67690,2010,2010,0,2,14550,0,68,36,40,0,0,0,0
86472,5,585,94450,9690,0,1580,67690,2010,2010,0,2,14650,0,68,36,40,0,0,0,0
86473,5,585,94550,9710,0,1580,67690,2010,2010,0,2,14650,0,68,36,40,0,0,0,0
86474,5,585,94600,9720,0,1580,67690,2010,2010,0,2,14700,0,68,36,40,0,0,0,0
86475,5,590,94600,9740,0,1580,67690,2010,2010,0,2,14700,0,68,36,40,0,0,0,0
86476,5,590,94700,9750,0,1580,67680,2010,2010,0,2,14850,0,68,36,40,0,0,0,0
86477,5,590,94750,9770,0,1580,67680,2010,2010,0,2,14850,0,69,36,40,0,0,0,0
86478,5,590,94800,9780,0,1580,67680,2010,2010,0,2,14800,0,69,36,40,0,0,0,0
86479,5,590,94800,9790,0,1580,67680,2010,2010,0,2,14800,0,69,36,40,0,0,0,0
86480,5,590,94900,9810,0,1580,67670,2010,2010,0,2,14950,0,69,36,40,0,0,0,0
86481,5,590,94950,9820,0,1580,67670,2010,2010,0,2,14950,0,69,36,40,0,0,0,0
86482,5,595,95100,9830,0,1580,67670,2010,2010,0,2,14950,0,69,36,40,0,0,0,0
86483,5,595,95300,9840,0,1580,67670,2010,2010,0,2,14950,0,70,36,40,0,0,0,0
86484,5,595,95200,9860,0,1580,67670,2010,2010,0,2,15000,0,70,36,40,0,0,0,0
86485,5,595,95150,9870,0,1580,67670,2010,2010,0,2,15000,0,70,36,40,0,0,0,0
86486,5,595,95200,9880,0,1580,67660,2010,2010,0,2,15000,0,70,36,40,0,0,0,0
86487,5,595,95300,9890,0,1580,67660,2010,2010,0,2,15000,0,70,38,40,0,0,0,0
86488,5,595,95450,9900,0,1580,67660,2010,2010,0,2,15100,0,70,38,40,0,0,0,0
86489,5,600,95400,9910,0,1580,67660,2010,2010,0,2,15100,0,70,38,40,0,0,0,0
86490,5,600,95300,9920,0,1580,67660,2010,2010,0,2,15050,0,70,38,40,0,0,0,0
86491,5,600,95600,9930,0,1580,67660,2010,2010,0,2,15050,0,70,38,40,0,0,0,0
86492,5,600,95750,9940,0,1580,67650,2010,2010,0,2,15250,0,70,38,40,0,0,0,0
86493,5,600,95700,9950,0,1580,67650,2010,2010,0,2,15250,0,71,38,40,0,0,0,0
86494,5,600,95750,9960,0,1580,67650,2010,2010,0,2,15300,0,71,38,40,0,0,0,0
86495,5,600,95750,9960,0,1580,67650,2010,2010,0,2,15300,0,71,38,40,0,0,0,0
86496,5,600,95650,9970,0,1580,67640,2010,2010,0,2,15300,0,71,38,40,0,0,0,0
86497,5,600,95750,9980,0,1580,67640,2010,2010,0,2,15300,0,72,38,40,0,0,0,0
86498,5,605,95700,9990,0,1580,67640,2010,2010,0,2,15250,0,72,38,40,0,0,0,0
86499,5,600,95700,10000,0,1580,67640,2010,2010,0,2,15250,0,71,38,40,0,0,0,0
86500,5,600,95700,10000,0,1580,67640,2010,2010,0,2,15350,0,71,38,40,0,0,0,0
86501,5,600,95750,10010,0,1580,67640,2010,2010,0,2,15350,0,72,38,40,0,0,0,0
86502,5,600,95750,10020,0,1580,67630,2010,2010,0,2,15400,0,72,38,40,0,0,0,0
86503,5,605,95650,10030,0,1580,67630,2010,2010,0,2,15400,0,73,38,40,0,0,0,0
86504,5,605,95850,10040,0,1580,67620,2010,2010,0,2,15300,0,73,38,40,0,0,0,0
86505,5,605,95800,10040,0,1580,67620,2010,2010,0,2,15300,0,73,38,40,0,0,0,0
86506,5,605,95950,10050,0,1580,67620,2010,2010,0,2,15350,0,73,38,40,0,0,0,0
86507,5,605,95850,10060,0,1580,67620,2010,2010,0,2,15350,0,73,40,40,0,0,0,0
86508,5,605,96000,10070,0,1580,67620,2010,2010,0,2,15300,0,73,40,40,0,0,0,0
86509,5,605,96000,10070,0,1580,67620,2010,2010,0,2,15300,0,74,40,40,0,0,0,0
86510,5,605,95900,10080,0,1580,67620,2010,2010,0,2,15400,0,74,40,40,0,0,0,0
86511,5,605,95900,10090,0,1580,67620,2010,2010,0,2,15400,0,73,40,40,0,0,0,0
86512,5,605,95850,10090,0,1580,67610,2010,2010,0,2,15450,0,73,40,40,0,0,0,0
86513,5,605,95950,10100,0,1580,67610,2010,2010,0,2,15450,0,74,40,40,0,0,0,0
86514,5,605,96000,10110,0,1580,67610,2010,2010,0,2,15450,0,74,40,40,0,0,0,0
86515,5,605,96000,10110,0,1580,67610,2010,2010,0,2,15450,0,74,40,40,0,0,0,0
86516,5,605,96000,10120,0,1580,67600,2010,2010,0,2,15500,0,74,40,40,0,0,0,0
86517,5,605,96000,10130,0,1580,67600,2010,2010,0,2,15500,0,74,40,40,0,0,0,0
86518,5,605,96000,10130,0,1580,67600,2010,2010,0,2,15500,0,74,40,40,0,0,0,0
86519,5,605,96050,10140,0,1580,67600,2010,2010,0,2,15500,0,74,40,40,0,0,0,0
86520,5,605,96000,10140,0,1580,67590,2010,2010,0,2,15500,0,74,40,40,0,0,0,0
86521,5,605,96000,10150,0,1580,67590,2010,2010,0,2,15500,0,74,40,40,0,0,0,0
86522,5,605,96050,10160,0,1580,67590,2010,2010,0,2,15550,0,74,40,40,0,0,0,0
86523,5,605,96000,10160,0,1580,67590,2010,2010,0,2,15550,0,74,40,40,0,0,0,0
86524,5,605,96050,10170,0,1580,67580,2010,2010,0,2,15500,0,74,40,40,0,0,0,0
86525,5,605,96050,10180,0,1580,67580,2010,2010,0,2,15500,0,75,40,40,0,0,0,0
86526,5,605,96150,10180,0,1580,67580,2010,2010,0,2,15550,0,75,40,40,0,0,0,0
86527,5,605,96100,10190,0,1580,67580,2010,2010,0,2,15550,0,75,40,40,0,0,0,0
86528,5,605,96200,10190,0,1580,67580,2010,2010,0,2,15600,0,75,40,40,0,0,0,0
86529,5,605,96150,10200,0,1580,67580,2010,2010,0,2,15600,0,75,40,40,0,0,0,0
86530,5,605,96250,10200,0,1580,67570,2010,2010,0,2,15650,0,75,40,40,0,0,0,0
86531,5,605,96250,10210,0,1580,67570,2010,2010,0,2,15650,0,75,42,40,0,0,0,0
86532,5,605,96200,10210,0,1580,67570,2010,2010,0,2,15650,0,75,42,40,0,0,0,0
86533,5,605,96200,10220,0,1580,67570,2010,2010,0,2,15650,0,75,42,40,0,0,0,0
86534,5,605,96200,10220,0,1580,67560,2010,2010,0,2,15650,0,75,42,40,0,0,0,0
