version,4,4
counter,							engine_state,							temperature,							engine_rpm,							pump_vol,							radio_vol,							engine_vol,							pressure,							rc_input1,							rc_input2,							speed,							pump_st,							pump_rpm,							error_coe,							current,							tcu_temp,							ecu_temp,							thrust,							fuel_temp,							fuel_press,							combustion_press
46950,5,625,36950,3610,0,1600,100850,1090,0,0,2,3100,0,0,0,0,0,0,0,0
46958,5,620,36800,3600,0,1600,100860,1090,0,0,2,3050,0,0,0,0,0,0,0,0
51041,5,655,37000,3490,0,1600,100860,1090,0,0,2,3050,0,6,32,42,0,0,0,0
51043,5,655,36950,3490,0,1600,100860,1090,0,0,2,3050,0,6,32,42,0,0,0,0
51045,5,665,36900,3490,0,1600,100860,1090,0,0,2,3050,0,6,32,42,0,0,0,0
51047,5,665,36800,3490,0,0,0,0,0,0,0,0,0,6,32,42,0,0,0,0
51048,5,665,36500,3490,0,1480,101410,1100,0,0,2,3150,0,6,32,42,0,0,0,0
59244,5,665,77300,6410,0,1560,101010,1490,0,0,2,9150,0,6,32,42,0,0,0,0
59248,5,655,76500,7030,0,1580,101010,1640,0,0,2,9750,0,6,32,42,0,0,0,0
60781,6,195,1850,0,0,0,0,0,0,0,0,0,0,3,42,36,0,0,0,0
60782,6,195,1850,0,0,1640,101030,920,0,0,0,0,0,3,42,36,0,0,0,0
60783,6,190,2000,0,0,1640,101030,920,0,0,0,0,0,14,42,36,0,0,0,0
60784,6,190,2250,0,0,1640,101030,920,0,0,0,0,0,14,42,36,0,0,0,0
60785,6,190,2400,0,0,1640,101030,920,0,0,0,0,0,12,44,36,0,0,0,0
60786,6,190,2550,0,0,1640,101030,920,0,0,0,0,0,12,44,36,0,0,0,0
60787,6,190,2700,0,0,1640,101030,920,0,0,0,0,0,11,44,36,0,0,0,0
60788,6,185,2800,0,0,1640,101030,920,0,0,0,0,0,11,44,36,0,0,0,0
60789,6,185,2850,0,0,1640,101030,920,0,0,0,0,0,10,44,36,0,0,0,0
60790,6,185,2950,0,0,1640,101030,920,0,0,0,0,0,10,44,36,0,0,0,0
60791,6,180,3050,0,0,1640,101030,920,0,0,0,0,0,12,44,36,0,0,0,0
60792,6,180,3100,0,0,1640,101030,920,0,0,0,0,0,12,44,36,0,0,0,0
60793,6,180,3200,0,0,1640,101030,920,0,0,0,0,0,12,44,36,0,0,0,0
60794,6,175,3250,0,0,1640,101030,920,0,0,0,0,0,12,44,36,0,0,0,0
60795,6,175,3350,0,0,1640,101030,920,0,0,0,0,0,15,44,36,0,0,0,0
60796,6,175,3450,0,0,1640,101030,920,0,0,0,0,0,15,44,36,0,0,0,0
60797,6,170,3550,0,0,1640,101030,920,0,0,0,0,0,15,44,36,0,0,0,0
60798,6,170,3600,0,0,1640,101040,920,0,0,0,0,0,15,44,36,0,0,0,0
60799,6,170,3700,0,0,1640,101040,920,0,0,0,0,0,19,44,36,0,0,0,0
60800,6,165,3850,0,0,1620,101040,920,0,0,0,0,0,19,44,36,0,0,0,0
60801,6,165,4000,0,0,1620,101040,920,0,0,0,0,0,21,44,36,0,0,0,0
60802,6,165,4050,0,0,1620,101030,920,0,0,0,0,0,21,44,36,0,0,0,0
60803,6,160,4100,0,0,1620,101030,920,0,0,0,0,0,19,44,36,0,0,0,0
60804,6,160,4200,0,0,1620,101030,920,0,0,0,0,0,19,44,36,0,0,0,0
60805,6,160,4200,0,0,1620,101030,920,0,0,0,0,0,18,44,36,0,0,0,0
60806,6,155,4250,0,0,1620,101030,920,0,0,0,0,0,18,44,36,0,0,0,0
60807,6,155,4300,0,0,1620,101030,920,0,0,0,0,0,18,44,36,0,0,0,0
60808,6,155,4300,0,0,1620,101030,920,0,0,0,0,0,18,44,36,0,0,0,0
60809,6,150,4300,0,0,1620,101030,920,0,0,0,0,0,18,44,36,0,0,0,0
60810,6,150,4350,0,0,1620,101030,920,0,0,0,0,0,18,44,36,0,0,0,0
60811,6,150,4350,0,0,1620,101030,920,0,0,0,0,0,17,44,36,0,0,0,0
60812,6,145,4350,0,0,1620,101030,920,0,0,0,0,0,17,44,36,0,0,0,0
60813,6,145,4350,0,0,1620,101030,920,0,0,0,0,0,17,44,36,0,0,0,0
60814,6,145,4350,0,0,1620,101030,920,0,0,0,0,0,17,44,36,0,0,0,0
60815,6,140,4350,0,0,1620,101030,920,0,0,0,0,0,17,44,36,0,0,0,0
60816,6,140,4350,0,0,1620,101030,920,0,0,0,0,0,17,44,36,0,0,0,0
60817,6,140,4350,0,0,1620,101030,920,0,0,0,0,0,17,44,36,0,0,0,0
60818,6,140,4350,0,0,1620,101030,920,0,0,0,0,0,17,44,36,0,0,0,0
60819,6,135,4350,0,0,1620,101030,920,0,0,0,0,0,17,44,36,0,0,0,0
60820,6,135,4350,0,0,1620,101030,920,0,0,0,0,0,17,44,36,0,0,0,0
60821,6,135,4350,0,0,1620,101030,920,0,0,0,0,0,17,44,36,0,0,0,0
60822,6,130,4350,0,0,1620,101040,920,0,0,0,0,0,17,44,36,0,0,0,0
60823,6,130,4350,0,0,1620,101040,920,0,0,0,0,0,17,44,36,0,0,0,0
60824,6,130,4350,0,0,1620,101040,920,0,0,0,0,0,17,44,36,0,0,0,0
60825,6,130,4350,0,0,1620,101040,920,0,0,0,0,0,17,44,36,0,0,0,0
60826,6,130,4350,0,0,1620,101040,920,0,0,0,0,0,17,44,36,0,0,0,0
60827,6,125,4350,0,0,1620,101040,920,0,0,0,0,0,17,44,36,0,0,0,0
60828,6,125,4350,0,0,1620,101040,920,0,0,0,0,0,17,44,36,0,0,0,0
60829,6,125,4350,0,0,1620,101040,920,0,0,0,0,0,17,44,36,0,0,0,0
